Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
M,0.501,0.401,0.14,0.5839,0.2085,0.095,0.2442,12
F,0.563,0.448,0.159,0.9554,0.3579,0.237,0.2844,16
M,0.638,0.493,0.149,1.2196,0.4871,0.2561,0.4278,16
M,0.703,0.541,0.17,1.5673,0.696,0.3383,0.4686,14
F,0.574,0.448,0.153,0.8466,0.3056,0.1702,0.3179,12
I,0.417,0.378,0.13,0.4792,0.2306,0.0977,0.1445,8
F,0.631,0.506,0.179,1.1941,0.4464,0.2697,0.3773,14
F,0.536,0.398,0.125,0.6768,0.2285,0.1145,0.2107,10
F,0.475,0.335,0.113,0.4445,0.1955,0.0891,0.1297,8
I,0.421,0.309,0.105,0.321,0.1391,0.0548,0.0839,4
M,0.49,0.385,0.15,0.6326,0.2544,0.1215,0.1717,8
M,0.699,0.549,0.208,1.7461,0.7274,0.3907,0.5604,16
F,0.489,0.402,0.139,0.6426,0.2562,0.1253,0.1672,9
I,0.624,0.506,0.172,1.2423,0.4888,0.3046,0.2889,11
I,0.285,0.255,0.076,0.1398,0.0689,0.0611,0.05,6
I,0.353,0.287,0.102,0.2169,0.0884,0.0561,0.0808,6
I,0.322,0.206,0.082,0.1024,0.0302,0.0307,0.0408,7
I,0.44,0.304,0.123,0.471,0.173,0.098,0.1236,8
M,0.443,0.309,0.099,0.3053,0.103,0.0753,0.1052,7
I,0.402,0.277,0.105,0.4085,0.1518,0.1002,0.1016,13
I,0.516,0.423,0.11,0.6484,0.2642,0.0852,0.2037,9
F,0.518,0.424,0.148,0.7739,0.3659,0.1733,0.2108,8
F,0.626,0.491,0.215,1.588,0.668,0.3643,0.4724,17
M,0.518,0.423,0.146,0.7353,0.3377,0.1668,0.2027,11
I,0.628,0.479,0.16,1.3641,0.5192,0.2881,0.4112,11
F,0.584,0.476,0.19,1.0177,0.439,0.2235,0.3417,9
M,0.646,0.499,0.186,1.3427,0.5533,0.2922,0.3997,21
I,0.442,0.339,0.109,0.3228,0.1365,0.0693,0.1166,7
M,0.437,0.328,0.118,0.461,0.2051,0.1158,0.1703,10
F,0.482,0.383,0.155,0.6525,0.358,0.1634,0.1666,8
M,0.559,0.441,0.133,0.8825,0.4946,0.1499,0.2053,6
M,0.428,0.346,0.079,0.2733,0.1164,0.0612,0.0734,4
F,0.501,0.343,0.077,0.3429,0.1252,0.1018,0.0947,10
M,0.666,0.506,0.191,1.452,0.5925,0.3563,0.3919,9
I,0.314,0.238,0.08,0.1909,0.0854,0.0244,0.0551,5
I,0.075,0.055,0.073,0.0324,0.0115,0.0039,0.0199,6
M,0.456,0.352,0.112,0.4411,0.1726,0.0863,0.1625,12
I,0.509,0.381,0.114,0.5355,0.2455,0.1365,0.1224,7
F,0.444,0.319,0.088,0.4023,0.1941,0.1074,0.1158,9
I,0.402,0.321,0.133,0.3695,0.1488,0.0645,0.1114,9
F,0.459,0.383,0.138,0.5215,0.1958,0.1367,0.1661,8
M,0.508,0.417,0.138,0.7014,0.3004,0.1604,0.2209,11
F,0.418,0.304,0.104,0.3398,0.1482,0.0636,0.1058,9
F,0.561,0.428,0.156,0.8373,0.4217,0.1533,0.2072,10
F,0.647,0.514,0.173,1.4137,0.5138,0.3567,0.4796,13
F,0.515,0.428,0.121,0.5072,0.1857,0.1137,0.184,8
I,0.666,0.525,0.167,1.4921,0.6228,0.3354,0.4034,14
I,0.508,0.387,0.133,0.5779,0.2375,0.1467,0.1591,8
M,0.511,0.393,0.131,0.5695,0.2129,0.0775,0.2335,13
F,0.705,0.538,0.19,1.8358,0.9197,0.3312,0.497,18
M,0.723,0.57,0.174,2.0951,1.0089,0.4247,0.4891,10
I,0.354,0.254,0.097,0.1939,0.0516,0.0516,0.0812,5
I,0.531,0.429,0.09,0.71,0.2673,0.147,0.1893,10
I,0.589,0.445,0.131,0.9965,0.3911,0.1994,0.2358,11
I,0.358,0.248,0.097,0.1545,0.0844,0.0739,0.0337,5
F,0.465,0.375,0.121,0.527,0.2012,0.1227,0.2321,9
F,0.477,0.411,0.124,0.5434,0.2579,0.078,0.187,12
I,0.317,0.257,0.073,0.2108,0.1241,0.0271,0.0818,7
F,0.632,0.506,0.164,1.366,0.5658,0.3113,0.3245,11
F,0.654,0.497,0.142,1.0012,0.4168,0.2248,0.2767,11
F,0.518,0.41,0.129,0.4924,0.1327,0.1153,0.2003,9
M,0.655,0.537,0.211,1.663,0.6197,0.4073,0.4293,14
I,0.344,0.291,0.106,0.2603,0.121,0.0587,0.1088,10
M,0.567,0.433,0.104,0.7269,0.3941,0.193,0.1542,8
M,0.69,0.527,0.136,1.452,0.5374,0.3256,0.3871,13
F,0.692,0.54,0.18,1.4349,0.5854,0.3408,0.3969,10
F,0.486,0.358,0.08,0.3622,0.187,0.0655,0.1172,5
F,0.451,0.338,0.109,0.4166,0.1682,0.085,0.1621,8
I,0.329,0.212,0.068,0.1409,0.0474,0.0382,0.0446,9
M,0.668,0.521,0.172,1.3847,0.6696,0.2696,0.3268,8
I,0.598,0.461,0.119,0.8949,0.5133,0.2012,0.1974,7
M,0.507,0.391,0.148,0.6363,0.2629,0.1147,0.2191,8
F,0.597,0.44,0.137,0.9489,0.4433,0.1731,0.2664,5
M,0.639,0.529,0.156,1.0777,0.4163,0.2615,0.3509,15
M,0.758,0.59,0.247,2.3167,1.0788,0.5084,0.6413,19
I,0.483,0.354,0.114,0.5138,0.1862,0.1324,0.1702,5
F,0.652,0.505,0.177,1.5394,0.7198,0.3619,0.3791,9
F,0.494,0.371,0.141,0.6405,0.1823,0.1086,0.2033,11
I,0.442,0.299,0.114,0.3031,0.1163,0.0757,0.0924,9
F,0.407,0.312,0.121,0.3764,0.1668,0.1007,0.1104,9
F,0.636,0.486,0.155,1.1111,0.527,0.2733,0.2476,8
I,0.629,0.506,0.174,1.5751,0.6249,0.2592,0.5236,13
F,0.43,0.338,0.114,0.2968,0.1786,0.0678,0.0592,7
I,0.653,0.511,0.176,1.4026,0.6072,0.3253,0.3765,10
I,0.159,0.111,0.043,0.026,0.0204,0.0064,0.0034,3
I,0.31,0.207,0.062,0.1167,0.0728,0.0386,0.0302,3
I,0.48,0.36,0.109,0.5227,0.2289,0.071,0.1434,9
M,0.659,0.53,0.184,1.6852,0.7061,0.3306,0.482,16
F,0.535,0.418,0.126,0.8095,0.3298,0.1561,0.2127,6
F,0.717,0.557,0.191,1.738,0.7535,0.3861,0.5579,11
F,0.552,0.431,0.119,0.842,0.446,0.1506,0.243,10
F,0.678,0.52,0.182,1.5855,0.7405,0.2743,0.4083,14
F,0.288,0.197,0.073,0.0908,0.0282,0.0233,0.054,8
M,0.57,0.428,0.155,0.9309,0.4336,0.1663,0.247,8
I,0.432,0.304,0.093,0.3705,0.1742,0.0455,0.1357,9
F,0.539,0.429,0.134,0.7741,0.3236,0.1706,0.2294,9
M,0.584,0.486,0.105,0.9598,0.4339,0.2019,0.1817,8
I,0.553,0.427,0.142,0.7031,0.4614,0.0926,0.1596,5
F,0.453,0.359,0.122,0.4526,0.2167,0.0986,0.1394,8
I,0.592,0.448,0.154,0.9357,0.4602,0.2055,0.2254,8
F,0.509,0.357,0.11,0.7351,0.3734,0.1428,0.2047,8
F,0.655,0.489,0.165,1.1203,0.5175,0.2714,0.269,8
F,0.417,0.352,0.09,0.4314,0.2106,0.1036,0.0995,9
I,0.473,0.357,0.124,0.5041,0.2811,0.1111,0.1164,8
I,0.323,0.214,0.084,0.1329,0.0566,0.0231,0.0484,8
F,0.402,0.34,0.107,0.2368,0.0795,0.0574,0.1185,9
F,0.622,0.492,0.206,1.4355,0.5322,0.3149,0.3866,21
M,0.514,0.405,0.118,0.7721,0.2958,0.1551,0.2482,10
M,0.569,0.436,0.156,1.0085,0.458,0.2453,0.271,9
I,0.358,0.276,0.097,0.2622,0.1021,0.0525,0.1199,7
F,0.612,0.474,0.155,1.1472,0.4961,0.3006,0.279,9
I,0.496,0.373,0.088,0.637,0.3426,0.1451,0.1499,7
F,0.646,0.542,0.186,1.5447,0.634,0.3211,0.4932,14
F,0.565,0.434,0.152,0.8239,0.4033,0.2141,0.2643,12
M,0.683,0.534,0.185,1.4851,0.6511,0.3282,0.3598,10
I,0.398,0.324,0.113,0.3309,0.089,0.0774,0.1285,9
I,0.42,0.335,0.096,0.2306,0.0931,0.0434,0.1062,7
I,0.539,0.422,0.128,0.7384,0.3128,0.2338,0.1992,11
M,0.581,0.444,0.152,1.0368,0.588,0.2092,0.2006,6
F,0.421,0.356,0.103,0.3985,0.1791,0.0764,0.1238,11
M,0.573,0.438,0.175,0.9182,0.3695,0.2579,0.2482,9
I,0.506,0.404,0.124,0.6999,0.3683,0.1645,0.1494,8
I,0.635,0.476,0.14,1.3234,0.5643,0.2888,0.3128,7
I,0.219,0.172,0.054,0.0651,0.0194,0.0192,0.0097,7
M,0.563,0.444,0.142,0.9277,0.3407,0.2404,0.2731,14
F,0.613,0.496,0.161,1.3507,0.634,0.2364,0.3427,12
M,0.682,0.521,0.186,1.6791,0.794,0.3814,0.4403,13
I,0.373,0.27,0.087,0.2398,0.0865,0.0455,0.1152,5
F,0.396,0.26,0.085,0.2075,0.105,0.0663,0.0701,7
M,0.637,0.494,0.146,1.0716,0.4925,0.2341,0.3195,13
M,0.605,0.472,0.124,0.6437,0.2196,0.1863,0.2317,13
I,0.442,0.326,0.095,0.4567,0.3195,0.1003,0.0714,5
F,0.348,0.264,0.091,0.1705,0.0944,0.0313,0.0422,6
F,0.644,0.506,0.161,1.3607,0.6874,0.2799,0.3033,9
I,0.337,0.244,0.093,0.1792,0.0404,0.0346,0.0983,12
I,0.322,0.247,0.104,0.257,0.1475,0.0473,0.0428,5
F,0.496,0.394,0.129,0.6007,0.2076,0.1394,0.1967,7
F,0.491,0.384,0.114,0.5393,0.1783,0.1453,0.2026,11
F,0.425,0.359,0.117,0.4749,0.1938,0.1137,0.1048,7
I,0.434,0.31,0.14,0.3578,0.1526,0.0581,0.1158,8
M,0.634,0.506,0.172,1.2915,0.5698,0.3,0.3537,11
F,0.623,0.5,0.158,1.3846,0.5198,0.3032,0.3971,9
I,0.402,0.373,0.082,0.3427,0.1701,0.0564,0.1156,11
M,0.562,0.439,0.165,1.0024,0.3853,0.1594,0.3001,11
M,0.68,0.559,0.211,1.6646,0.6964,0.3878,0.4889,12
I,0.293,0.221,0.101,0.1063,0.0462,0.0242,0.0453,5
I,0.605,0.474,0.159,1.3058,0.5793,0.2799,0.3899,11
I,0.588,0.442,0.13,0.8521,0.3576,0.1778,0.2603,9
F,0.556,0.441,0.158,1.0132,0.3884,0.2121,0.2878,12
M,0.422,0.299,0.11,0.2664,0.1195,0.0531,0.0869,5
M,0.486,0.375,0.101,0.5728,0.3182,0.1046,0.2094,13
M,0.68,0.529,0.201,1.7769,0.7972,0.3641,0.4451,11
M,0.509,0.35,0.135,0.5706,0.2332,0.123,0.173,6
I,0.564,0.436,0.135,0.9222,0.3433,0.177,0.2826,8
M,0.602,0.472,0.18,0.9592,0.4874,0.241,0.2199,9
F,0.546,0.427,0.12,0.7043,0.3124,0.1725,0.1841,9
I,0.376,0.289,0.109,0.3769,0.1609,0.0542,0.1441,13
I,0.349,0.299,0.086,0.1616,0.0579,0.052,0.0609,9
I,0.454,0.347,0.122,0.5595,0.2462,0.1096,0.1263,6
F,0.449,0.338,0.14,0.5145,0.2753,0.1442,0.1366,7
F,0.672,0.519,0.178,1.4375,0.6502,0.2969,0.3755,13
M,0.462,0.361,0.104,0.4819,0.2262,0.0926,0.127,7
F,0.432,0.305,0.125,0.3677,0.1604,0.0685,0.1499,9
I,0.622,0.463,0.142,0.8865,0.4494,0.2147,0.2313,6
F,0.398,0.348,0.111,0.3451,0.1368,0.0817,0.1419,10
M,0.661,0.544,0.186,1.4453,0.6552,0.2979,0.345,11
I,0.522,0.395,0.14,0.811,0.4017,0.1751,0.1603,9
M,0.445,0.322,0.087,0.3673,0.1963,0.0793,0.0875,6
M,0.591,0.459,0.123,0.9257,0.4926,0.1547,0.2539,9
M,0.557,0.414,0.121,0.6519,0.234,0.1203,0.2154,9
I,0.49,0.372,0.119,0.7554,0.4024,0.1396,0.1849,10
I,0.556,0.43,0.167,0.8206,0.3776,0.1605,0.2225,8
M,0.449,0.369,0.12,0.5226,0.2277,0.135,0.1579,11
M,0.719,0.574,0.204,2.0357,0.891,0.4917,0.572,16
I,0.573,0.441,0.154,1.0185,0.4864,0.2217,0.218,12
M,0.493,0.407,0.125,0.7541,0.2804,0.195,0.2378,11
I,0.351,0.252,0.084,0.1919,0.1005,0.0328,0.0711,7
F,0.504,0.387,0.127,0.5003,0.1807,0.0906,0.2044,9
F,0.604,0.491,0.158,0.8668,0.4156,0.2065,0.2421,10
F,0.661,0.517,0.189,1.4418,0.5969,0.3202,0.3857,13
I,0.464,0.376,0.115,0.4205,0.2037,0.1021,0.1245,6
M,0.396,0.324,0.118,0.4562,0.1964,0.0716,0.1098,8
F,0.507,0.389,0.154,0.6975,0.2676,0.1369,0.2533,11
F,0.588,0.468,0.184,0.9627,0.4159,0.2242,0.2496,7
I,0.513,0.394,0.15,0.9793,0.4946,0.2321,0.2315,9
M,0.46,0.372,0.111,0.4758,0.3049,0.0784,0.1288,10
M,0.558,0.428,0.133,0.7984,0.306,0.2067,0.311,15
I,0.48,0.379,0.111,0.5064,0.161,0.1343,0.1552,7
F,0.472,0.37,0.117,0.678,0.3642,0.1379,0.1393,10
I,0.531,0.371,0.123,0.5729,0.2826,0.1344,0.2046,10
M,0.663,0.52,0.159,1.4002,0.6509,0.2346,0.4202,10
M,0.56,0.44,0.17,0.8774,0.2788,0.2075,0.2744,15
M,0.573,0.43,0.167,0.863,0.3858,0.1601,0.2905,8
F,0.464,0.365,0.141,0.628,0.2241,0.1341,0.2212,9
M,0.562,0.436,0.137,0.7834,0.2834,0.1855,0.2183,14
I,0.559,0.451,0.135,0.8562,0.3977,0.2023,0.2368,10
M,0.427,0.334,0.099,0.3422,0.1666,0.0797,0.1143,10
F,0.445,0.32,0.123,0.4182,0.1631,0.058,0.1472,9
F,0.646,0.505,0.187,1.2845,0.5775,0.2978,0.4168,11
F,0.559,0.426,0.105,0.7593,0.2763,0.173,0.2162,8
I,0.568,0.468,0.127,0.9471,0.3444,0.2136,0.3085,8
F,0.7,0.562,0.191,1.7733,0.7592,0.3332,0.4946,16
F,0.536,0.401,0.13,0.4914,0.1731,0.1266,0.1756,11
F,0.501,0.394,0.129,0.5624,0.3103,0.1444,0.1137,5
I,0.268,0.21,0.075,0.0972,0.0474,0.0275,0.0433,9
M,0.565,0.419,0.142,0.9215,0.3787,0.2005,0.2851,12
M,0.691,0.557,0.188,1.716,0.7735,0.4003,0.4485,13
M,0.237,0.191,0.056,0.0865,0.0367,0.0147,0.0194,7
F,0.41,0.337,0.125,0.4431,0.156,0.1053,0.1027,8
M,0.424,0.317,0.096,0.2791,0.1451,0.0247,0.0896,8
M,0.568,0.425,0.187,1.0161,0.3523,0.271,0.2644,16
I,0.502,0.375,0.115,0.5001,0.1825,0.0987,0.1201,11
F,0.337,0.264,0.068,0.1727,0.0835,0.0378,0.0512,6
I,0.345,0.269,0.117,0.1808,0.0522,0.0442,0.0767,9
M,0.497,0.383,0.129,0.6396,0.3198,0.1583,0.134,8
M,0.704,0.544,0.181,1.7216,0.6367,0.3413,0.5269,19
I,0.609,0.446,0.166,1.1371,0.5535,0.2338,0.2834,11
F,0.678,0.53,0.165,1.5065,0.6472,0.3101,0.4649,13
F,0.382,0.287,0.085,0.1926,0.1163,0.0536,0.0381,4
I,0.605,0.469,0.123,0.9058,0.5411,0.2731,0.1987,7
I,0.552,0.444,0.163,0.7527,0.3093,0.1526,0.239,9
M,0.514,0.405,0.157,0.7388,0.3033,0.138,0.286,12
F,0.604,0.463,0.165,0.7274,0.3809,0.2081,0.1695,12
M,0.603,0.505,0.182,1.3711,0.5406,0.2813,0.4133,10
F,0.559,0.441,0.174,1.0072,0.4526,0.18,0.3116,13
I,0.469,0.362,0.089,0.379,0.2021,0.0839,0.1033,6
F,0.654,0.517,0.196,1.4681,0.5349,0.3002,0.4623,13
I,0.229,0.149,0.075,0.0503,0.016,0.0073,0.0402,9
I,0.492,0.378,0.146,0.465,0.1854,0.09,0.1878,12
F,0.537,0.407,0.191,0.6295,0.2433,0.141,0.2168,14
M,0.504,0.425,0.143,0.7523,0.2376,0.1596,0.2833,12
M,0.578,0.46,0.171,1.1132,0.5958,0.2635,0.2739,12
F,0.602,0.485,0.2,1.0914,0.5285,0.1905,0.3356,11
M,0.621,0.503,0.156,1.3498,0.6749,0.2318,0.3959,11
M,0.256,0.196,0.087,0.0887,0.0206,0.0175,0.051,6
M,0.518,0.416,0.143,0.8169,0.3611,0.1598,0.2284,9
I,0.556,0.414,0.107,0.66,0.2524,0.1565,0.1916,8
I,0.357,0.261,0.096,0.2459,0.0985,0.0466,0.141,11
M,0.612,0.471,0.137,1.0787,0.53,0.2214,0.3152,10
M,0.563,0.472,0.14,1.0082,0.5325,0.2207,0.2283,6
I,0.542,0.426,0.144,0.9217,0.3167,0.1692,0.3254,16
M,0.674,0.553,0.214,1.7138,0.7337,0.3947,0.4778,16
I,0.351,0.276,0.088,0.24,0.0813,0.0568,0.0918,6
F,0.649,0.524,0.201,1.3188,0.6025,0.3351,0.4208,12
M,0.617,0.487,0.142,1.2117,0.6097,0.2213,0.2736,6
F,0.517,0.367,0.132,0.5011,0.1686,0.099,0.2163,11
F,0.58,0.439,0.154,0.9904,0.4335,0.2221,0.2573,9
I,0.414,0.267,0.057,0.2752,0.1393,0.0663,0.0807,5
I,0.455,0.356,0.107,0.5822,0.2085,0.1443,0.1304,9
F,0.577,0.481,0.136,0.9005,0.3945,0.189,0.2891,16
M,0.498,0.375,0.127,0.6348,0.314,0.0923,0.1862,6
F,0.586,0.488,0.166,1.2083,0.4327,0.2577,0.3528,13
M,0.684,0.542,0.213,1.6206,0.7096,0.3507,0.427,10
F,0.483,0.383,0.125,0.5617,0.2466,0.1344,0.228,11
F,0.613,0.475,0.134,1.2559,0.4692,0.2308,0.3923,11
M,0.548,0.443,0.157,0.9324,0.3352,0.2301,0.315,10
F,0.423,0.319,0.095,0.3144,0.1569,0.0641,0.0764,7
I,0.609,0.449,0.116,0.7717,0.2844,0.1975,0.2689,7
M,0.628,0.499,0.145,1.2248,0.5343,0.2721,0.3479,10
I,0.432,0.32,0.102,0.4278,0.1521,0.0682,0.1407,8
M,0.562,0.445,0.159,0.9134,0.4131,0.2076,0.2426,10
I,0.56,0.438,0.131,0.9784,0.4968,0.1948,0.1864,8
M,0.622,0.469,0.184,1.4585,0.5712,0.325,0.423,13
I,0.544,0.439,0.151,1.1788,0.5097,0.2759,0.3347,13
M,0.634,0.513,0.194,1.4624,0.5507,0.3485,0.3907,13
I,0.553,0.437,0.168,0.9947,0.3385,0.2438,0.2799,11
F,0.586,0.455,0.147,1.083,0.4096,0.2063,0.2599,8
I,0.399,0.288,0.12,0.3905,0.165,0.0988,0.1355,13
I,0.53,0.371,0.115,0.5872,0.27,0.1422,0.2355,8
I,0.391,0.3,0.098,0.2924,0.142,0.0885,0.0568,6
F,0.57,0.42,0.148,0.9371,0.3955,0.2342,0.2415,8
F,0.553,0.44,0.164,0.8251,0.3622,0.1926,0.2337,11
I,0.627,0.498,0.174,1.3432,0.6845,0.2914,0.3014,11
F,0.487,0.387,0.108,0.6257,0.3063,0.1075,0.1467,4
F,0.602,0.497,0.174,1.4345,0.6391,0.2886,0.3651,12
I,0.583,0.463,0.134,0.8144,0.3326,0.1495,0.254,10
I,0.358,0.269,0.086,0.1924,0.0978,0.0391,0.0703,5
M,0.728,0.569,0.205,2.0132,1.0208,0.4637,0.4926,14
F,0.616,0.501,0.171,1.3406,0.6079,0.3033,0.3099,13
M,0.753,0.587,0.262,2.2746,1.0913,0.5459,0.6496,13
M,0.619,0.487,0.148,1.366,0.6424,0.3471,0.3384,10
I,0.464,0.386,0.127,0.6503,0.3336,0.1089,0.2068,11
F,0.54,0.44,0.146,0.6616,0.2066,0.1702,0.2398,13
M,0.629,0.505,0.172,0.9996,0.5435,0.2095,0.2753,9
M,0.642,0.522,0.207,1.6152,0.6267,0.3637,0.5108,17
F,0.515,0.411,0.141,0.6799,0.2953,0.148,0.2322,7
F,0.563,0.446,0.148,0.9605,0.4153,0.2383,0.2623,6
